File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF951NPL	bigWig	signal p-value	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				2							ENCFF424IMO, ENCFF873ZWP	126972321	ENCODE Processing Pipeline	4c0bdfec260af508e7a7f53595557fea		https://www.encodeproject.org/files/ENCFF951NPL/@@download/ENCFF951NPL.bigWig	GRCh38				released	s3://encode-public/2017/01/11/d468d31c-071d-4155-ab70-3bc668423b50/ENCFF951NPL.bigWig	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF223PCL	bed narrowPeak	peaks	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				2							ENCFF424IMO, ENCFF873ZWP	703965	ENCODE Processing Pipeline	9476e7fd681e6adbd06c1169e06f5807		https://www.encodeproject.org/files/ENCFF223PCL/@@download/ENCFF223PCL.bed.gz	GRCh38				released	s3://encode-public/2017/01/11/43bb0b41-675b-4d86-9131-31b1bbc68fe3/ENCFF223PCL.bed.gz	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF840GSC	bigWig	signal p-value	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				2							ENCFF624TPS, ENCFF674BEP	126940870	ENCODE Processing Pipeline	64179784450afb86151ab33358287063		https://www.encodeproject.org/files/ENCFF840GSC/@@download/ENCFF840GSC.bigWig	hg19				released	s3://encode-public/2017/01/11/504bc518-e753-480c-a8cf-bfa1aa1197e6/ENCFF840GSC.bigWig	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF601QJM	bed narrowPeak	peaks	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF232FPZ, ENCFF415YCS, ENCFF624TPS	1128284	ENCODE Processing Pipeline	2cececde56a1b3ffabf6f64ed23dd0f6		https://www.encodeproject.org/files/ENCFF601QJM/@@download/ENCFF601QJM.bed.gz	hg19				released	s3://encode-public/2017/01/11/99a324b8-752f-4f58-9c1e-fcc67f36d35d/ENCFF601QJM.bed.gz	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF315NQD	bigBed narrowPeak	peaks	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF601QJM	3236154	ENCODE Processing Pipeline	670e8873db991c78a6b6210fc18cd4f0		https://www.encodeproject.org/files/ENCFF315NQD/@@download/ENCFF315NQD.bigBed	hg19				released	s3://encode-public/2017/01/11/bdd8057b-7a79-4a83-a893-b34b58575af6/ENCFF315NQD.bigBed	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF156ZWV	bigBed narrowPeak	peaks	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				2							ENCFF223PCL	2099427	ENCODE Processing Pipeline	b2dd5570877b49e20dffc855822bc1e0		https://www.encodeproject.org/files/ENCFF156ZWV/@@download/ENCFF156ZWV.bigBed	GRCh38				released	s3://encode-public/2017/01/11/e5cb76bf-72e6-426c-aef3-39f44057f035/ENCFF156ZWV.bigBed	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF052MHA	bed narrowPeak	replicated peaks	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF102TOY, ENCFF601QJM, ENCFF868VSR	911637	ENCODE Processing Pipeline	b535ab104da7b7c4c7505f9dd4e52692		https://www.encodeproject.org/files/ENCFF052MHA/@@download/ENCFF052MHA.bed.gz	hg19				released	s3://encode-public/2017/01/11/76d3147d-1326-4a77-876c-a369816a9ddf/ENCFF052MHA.bed.gz	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF868VSR	bed narrowPeak	peaks	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF232FPZ, ENCFF415YCS, ENCFF624TPS, ENCFF674BEP	878646	ENCODE Processing Pipeline	3ab2ebeea4004fb1e12858eb3f8c637a		https://www.encodeproject.org/files/ENCFF868VSR/@@download/ENCFF868VSR.bed.gz	hg19				released	s3://encode-public/2017/01/11/1fd17eb0-0764-4ed6-80d5-473cd03ed7bf/ENCFF868VSR.bed.gz	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF390YJE	bigBed narrowPeak	peaks	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				2							ENCFF102TOY	2099181	ENCODE Processing Pipeline	2dbdb3185ec594885301ebc6a497d905		https://www.encodeproject.org/files/ENCFF390YJE/@@download/ENCFF390YJE.bigBed	hg19				released	s3://encode-public/2017/01/11/a827b269-a29b-455c-81ee-48abaa3f7e5c/ENCFF390YJE.bigBed	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF035AYI	bigBed narrowPeak	peaks	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF868VSR	2546686	ENCODE Processing Pipeline	b39399a97b8c2acc7632d6394ac5b700		https://www.encodeproject.org/files/ENCFF035AYI/@@download/ENCFF035AYI.bigBed	hg19				released	s3://encode-public/2017/01/11/eb2af62d-56aa-49f2-9a6e-599447589df7/ENCFF035AYI.bigBed	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF128UVW	bigWig	signal p-value	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF232FPZ, ENCFF415YCS, ENCFF624TPS	214802180	ENCODE Processing Pipeline	19d0a6d797ed01dd87f5987424f136a6		https://www.encodeproject.org/files/ENCFF128UVW/@@download/ENCFF128UVW.bigWig	hg19				released	s3://encode-public/2017/01/11/d3885773-6ee3-41b6-ba28-33d3f3048132/ENCFF128UVW.bigWig	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF797IEH	bed narrowPeak	peaks	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF424IMO, ENCFF737GSB, ENCFF797ARJ, ENCFF873ZWP	888555	ENCODE Processing Pipeline	a8ed16e42e4753e82691cbbfeecb3a25		https://www.encodeproject.org/files/ENCFF797IEH/@@download/ENCFF797IEH.bed.gz	GRCh38				released	s3://encode-public/2017/01/11/fdc66d32-1c69-416b-8f46-cbb992e9e018/ENCFF797IEH.bed.gz	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF889WJF	bigWig	signal p-value	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF737GSB, ENCFF797ARJ, ENCFF873ZWP	203516167	ENCODE Processing Pipeline	c3478aa59028d1015f6027ad1ce770aa		https://www.encodeproject.org/files/ENCFF889WJF/@@download/ENCFF889WJF.bigWig	GRCh38				released	s3://encode-public/2017/01/11/4188318d-25fb-4a3f-af86-b327a3e2510b/ENCFF889WJF.bigWig	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF623PFV	bigWig	fold change over control	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				2							ENCFF624TPS, ENCFF674BEP	93940866	ENCODE Processing Pipeline	7c4b0bc6e4fb22f0ed5f19ad229ddba1		https://www.encodeproject.org/files/ENCFF623PFV/@@download/ENCFF623PFV.bigWig	hg19				released	s3://encode-public/2017/01/11/54f21068-0c6f-4a89-b512-65aaefcb0b86/ENCFF623PFV.bigWig	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF776JKS	bigWig	signal p-value	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF424IMO, ENCFF737GSB, ENCFF797ARJ, ENCFF873ZWP	260031326	ENCODE Processing Pipeline	1f025c00abac0ceba15b87ff81ba1c34		https://www.encodeproject.org/files/ENCFF776JKS/@@download/ENCFF776JKS.bigWig	GRCh38				released	s3://encode-public/2017/01/11/52492482-3c51-4bfd-9261-fc0894344f6e/ENCFF776JKS.bigWig	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF465KNK	bigWig	fold change over control	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF232FPZ, ENCFF415YCS, ENCFF624TPS, ENCFF674BEP	233127971	ENCODE Processing Pipeline	8124a30eefbe0b8e138b81a1465f5812		https://www.encodeproject.org/files/ENCFF465KNK/@@download/ENCFF465KNK.bigWig	hg19				released	s3://encode-public/2017/01/11/a78075c2-fa1e-4d91-b6eb-9bd6bdee6eca/ENCFF465KNK.bigWig	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF939DCB	bigWig	fold change over control	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF737GSB, ENCFF797ARJ, ENCFF873ZWP	142290162	ENCODE Processing Pipeline	c1887432af57e98ac4f131db1dad8479		https://www.encodeproject.org/files/ENCFF939DCB/@@download/ENCFF939DCB.bigWig	GRCh38				released	s3://encode-public/2017/01/11/c7ae6956-f722-4873-a693-8925e0cf8c26/ENCFF939DCB.bigWig	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF159APG	bigBed narrowPeak	replicated peaks	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF052MHA	2023667	ENCODE Processing Pipeline	5a5cf5e70456facbb6c40102cd191e1d		https://www.encodeproject.org/files/ENCFF159APG/@@download/ENCFF159APG.bigBed	hg19				released	s3://encode-public/2017/01/11/499f2f39-55b3-4e63-9baa-d3bb706b7e87/ENCFF159APG.bigBed	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF182NGV	bigWig	fold change over control	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				2							ENCFF424IMO, ENCFF873ZWP	94056885	ENCODE Processing Pipeline	6388523d5e7d6aef42e679c3b82f7d01		https://www.encodeproject.org/files/ENCFF182NGV/@@download/ENCFF182NGV.bigWig	GRCh38				released	s3://encode-public/2017/01/11/0ca7fbd0-22a4-478c-992c-27f9de62b9b8/ENCFF182NGV.bigWig	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF028KBY	bigWig	fold change over control	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF424IMO, ENCFF737GSB, ENCFF797ARJ, ENCFF873ZWP	231566487	ENCODE Processing Pipeline	63baeb223f57aac91f5986aa06d60786		https://www.encodeproject.org/files/ENCFF028KBY/@@download/ENCFF028KBY.bigWig	GRCh38				released	s3://encode-public/2017/01/11/3488e957-a75b-49ab-8b11-bfb90a3e88d7/ENCFF028KBY.bigWig	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF069KAG	bed narrowPeak	replicated peaks	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF030RYE, ENCFF223PCL, ENCFF797IEH	916997	ENCODE Processing Pipeline	38f59a12f059dad67dd8a0306a103e26		https://www.encodeproject.org/files/ENCFF069KAG/@@download/ENCFF069KAG.bed.gz	GRCh38				released	s3://encode-public/2017/01/11/e232c61a-b187-4f27-898a-38e0bed631ca/ENCFF069KAG.bed.gz	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF637GBK	bigBed narrowPeak	replicated peaks	ENCSR000AKH	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K9ac-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF069KAG	2031919	ENCODE Processing Pipeline	a3bdf8afd341c591bb3ef5a77407cd5e		https://www.encodeproject.org/files/ENCFF637GBK/@@download/ENCFF637GBK.bigBed	GRCh38				released	s3://encode-public/2017/01/11/36b91c5c-804d-4d01-be1c-08c88d426c45/ENCFF637GBK.bigBed	mixed read lengths, low read length, control low read depth		control insufficient read depth, insufficient read depth	
ENCFF000AUQ	bigBed broadPeak	peaks	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE											ENCFF001SUQ	705357	Bradley Bernstein, Broad	56a3f89cef16598b943a33fbd57a5ed4		https://www.encodeproject.org/files/ENCFF000AUQ/@@download/ENCFF000AUQ.bigBed	hg19				archived	s3://encode-public/2010/11/16/5bce76a4-8a61-409e-abc1-f5b9538f11a4/ENCFF000AUQ.broadPeak.bigbed			control insufficient read depth, insufficient read depth	
ENCFF000AUR	bam	alignments	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE				2							ENCFF000AVB	420353738	Bradley Bernstein, Broad	a41aab03b2f6e3472e3e20d99b79b210		https://www.encodeproject.org/files/ENCFF000AUR/@@download/ENCFF000AUR.bam	hg19				archived	s3://encode-public/2010/11/16/356de7e1-d616-4603-9531-d86c8f00904d/ENCFF000AUR.bam			control insufficient read depth, insufficient read depth	
ENCFF000AUS	bigWig	signal	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE												423487129	Bradley Bernstein, Broad	87f1bc32b6ebbdb0cff305d5b62c61cd		https://www.encodeproject.org/files/ENCFF000AUS/@@download/ENCFF000AUS.bigWig	hg19				archived	s3://encode-public/2010/11/16/13080609-fd7d-4026-9e69-4d3f94505e7b/ENCFF000AUS.bigWig		missing derived_from	control insufficient read depth, insufficient read depth	
ENCFF000AUT	bam	alignments	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF000AVC	549937794	Bradley Bernstein, Broad	2aec140d26a96cda9c79ddc4bbc518e2		https://www.encodeproject.org/files/ENCFF000AUT/@@download/ENCFF000AUT.bam	hg19				archived	s3://encode-public/2010/11/16/ed1e7458-edbf-4aba-bbac-be4a9380fca0/ENCFF000AUT.bam			control insufficient read depth, insufficient read depth	
ENCFF000AVB	fastq	reads	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE				2	1	51		single-ended				712437805	Bradley Bernstein, Broad	311d9757cde35ce6ade1f367c163837a		https://www.encodeproject.org/files/ENCFF000AVB/@@download/ENCFF000AVB.fastq.gz			Illumina Genome Analyzer IIe	/files/ENCFF000ARO/	released	s3://encode-public/2010/11/16/71793ab4-cf8b-4603-8783-7303b0194fde/ENCFF000AVB.fastq.gz			control insufficient read depth, insufficient read depth	
ENCFF000AVC	fastq	reads	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE				1	1	51		single-ended				880529782	Bradley Bernstein, Broad	cf348e7b42945f5fc2bc28480c5e10fe		https://www.encodeproject.org/files/ENCFF000AVC/@@download/ENCFF000AVC.fastq.gz			Illumina Genome Analyzer II	/files/ENCFF000ARK/	released	s3://encode-public/2010/11/16/ff055d8a-c675-4b3f-b140-dce664a8e746/ENCFF000AVC.fastq.gz			control insufficient read depth, insufficient read depth	
ENCFF001SUQ	bed broadPeak	peaks	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE												396338	Bradley Bernstein, Broad	509e14fb9c9f05c1938855f7e2e0bbf3		https://www.encodeproject.org/files/ENCFF001SUQ/@@download/ENCFF001SUQ.bed.gz	hg19				archived	s3://encode-public/2010/11/16/fb695ec9-3a65-4a23-9459-c4ae6223864f/ENCFF001SUQ.broadPeak.gz		missing derived_from	control insufficient read depth, insufficient read depth	
ENCFF939MHR	bam	unfiltered alignments	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE				1			36				ENCFF000AVC, ENCFF807MUK	832374671	ENCODE Processing Pipeline	e2c8fa3f24c8871bda7516fcfd703815		https://www.encodeproject.org/files/ENCFF939MHR/@@download/ENCFF939MHR.bam	hg19				released	s3://encode-public/2016/11/05/de1d6b85-3110-4843-aa98-75e969895a6f/ENCFF939MHR.bam			control insufficient read depth, insufficient read depth	
ENCFF968HWY	bam	alignments	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE				2			36				ENCFF000AVB, ENCFF807MUK	300562357	ENCODE Processing Pipeline	260500ee3954b5d5fdcafcd522b43207		https://www.encodeproject.org/files/ENCFF968HWY/@@download/ENCFF968HWY.bam	hg19				released	s3://encode-public/2016/11/05/e53f8fc4-416f-4f7b-b01c-e2f84e86ae30/ENCFF968HWY.bam			control insufficient read depth, insufficient read depth	
ENCFF015YIT	bam	alignments	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE				1			36				ENCFF000AVC, ENCFF807MUK	323365023	ENCODE Processing Pipeline	89e936278eef26baba72ef28d079731f		https://www.encodeproject.org/files/ENCFF015YIT/@@download/ENCFF015YIT.bam	hg19				released	s3://encode-public/2016/11/05/2818ad0f-96ce-449b-a4b9-6d37920e4a54/ENCFF015YIT.bam			control insufficient read depth, insufficient read depth	
ENCFF379ZAB	bam	unfiltered alignments	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE				2			36				ENCFF000AVB, ENCFF807MUK	636936313	ENCODE Processing Pipeline	873b03310be7220998e524d1cb86748c		https://www.encodeproject.org/files/ENCFF379ZAB/@@download/ENCFF379ZAB.bam	hg19				released	s3://encode-public/2016/11/05/9b773015-02e7-4a01-8580-65ca48e9febd/ENCFF379ZAB.bam			control insufficient read depth, insufficient read depth	
ENCFF648VIE	bam	unfiltered alignments	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE				1			36				ENCFF000AVC, ENCFF643CGH	834537650	ENCODE Processing Pipeline	64543d9d747a9fb733c6d81f4cf40f73		https://www.encodeproject.org/files/ENCFF648VIE/@@download/ENCFF648VIE.bam	GRCh38				released	s3://encode-public/2016/11/05/32a7a129-4213-4516-839b-8ac5b62e97c9/ENCFF648VIE.bam			control insufficient read depth, insufficient read depth	
ENCFF537JWT	bam	unfiltered alignments	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE				2			36				ENCFF000AVB, ENCFF643CGH	638278054	ENCODE Processing Pipeline	922eeaf72451102e48b99964ae616001		https://www.encodeproject.org/files/ENCFF537JWT/@@download/ENCFF537JWT.bam	GRCh38				released	s3://encode-public/2016/11/05/3181ef42-1657-487c-bc4f-b2b441ce724a/ENCFF537JWT.bam			control insufficient read depth, insufficient read depth	
ENCFF880XJW	bam	alignments	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE				1			36				ENCFF000AVC, ENCFF643CGH	323770682	ENCODE Processing Pipeline	b543cd99bd10a57bcb917b2bcd2fc3c2		https://www.encodeproject.org/files/ENCFF880XJW/@@download/ENCFF880XJW.bam	GRCh38				released	s3://encode-public/2016/11/05/6a45c212-dd9a-4438-8237-eda133e742f8/ENCFF880XJW.bam			control insufficient read depth, insufficient read depth	
ENCFF937PBY	bam	alignments	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE				2			36				ENCFF000AVB, ENCFF643CGH	300825293	ENCODE Processing Pipeline	2184fd9c2aa02177f2d5bd676e1e29b1		https://www.encodeproject.org/files/ENCFF937PBY/@@download/ENCFF937PBY.bam	GRCh38				released	s3://encode-public/2016/11/05/2fe6cc91-bc7c-4613-b531-d6d0069dda2a/ENCFF937PBY.bam			control insufficient read depth, insufficient read depth	
ENCFF227HZC	tagAlign	alignments	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE												132747462	Anshul Kundaje, Stanford	df6ee118e86f615e2dede18e583b85fb		https://www.encodeproject.org/files/ENCFF227HZC/@@download/ENCFF227HZC.tagAlign.gz	hg19				archived	s3://encode-public/2016/07/19/0dc53667-a7bb-4787-9afb-fed01d977212/ENCFF227HZC.tagAlign.gz		missing derived_from	control insufficient read depth, insufficient read depth	
ENCFF953CRZ	bigWig	fold change over control	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE											ENCFF227HZC	383051326	Anshul Kundaje, Stanford	c5f29713ea5f3f814fdc57177d34f125		https://www.encodeproject.org/files/ENCFF953CRZ/@@download/ENCFF953CRZ.bigWig	hg19				archived	s3://encode-public/2016/08/18/e35f7851-b883-4917-825c-31ea1bab4f3c/ENCFF953CRZ.bigWig			control insufficient read depth, insufficient read depth	
ENCFF167QCX	bigWig	signal p-value	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE											ENCFF227HZC	348879954	Anshul Kundaje, Stanford	c1f632fa830501fe3f75c2e8a8c61a93		https://www.encodeproject.org/files/ENCFF167QCX/@@download/ENCFF167QCX.bigWig	hg19				archived	s3://encode-public/2016/08/18/c93faf76-07f8-4b0c-b0a8-5eca5da79b42/ENCFF167QCX.bigWig			control insufficient read depth, insufficient read depth	
ENCFF300QDT	bigBed narrowPeak	peaks	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF774QTB	1183146	ENCODE Processing Pipeline	85287e80f6d42154286d4cef5d5cad75		https://www.encodeproject.org/files/ENCFF300QDT/@@download/ENCFF300QDT.bigBed	GRCh38				released	s3://encode-public/2017/01/11/9441579a-3d82-427d-a25a-f9b550b80432/ENCFF300QDT.bigBed			control insufficient read depth, insufficient read depth	
ENCFF720QEA	bigWig	signal p-value	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF797ARJ, ENCFF873ZWP, ENCFF880XJW	196097230	ENCODE Processing Pipeline	9724dea0bb2e6755920136237b20cab4		https://www.encodeproject.org/files/ENCFF720QEA/@@download/ENCFF720QEA.bigWig	GRCh38				released	s3://encode-public/2017/01/11/b61c4f46-0b29-4e42-8af9-abb5a22bdcf2/ENCFF720QEA.bigWig			control insufficient read depth, insufficient read depth	
ENCFF611QUW	bigWig	signal p-value	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE				2							ENCFF873ZWP, ENCFF937PBY	131517260	ENCODE Processing Pipeline	ce77897a73e736115a852ff5ea597651		https://www.encodeproject.org/files/ENCFF611QUW/@@download/ENCFF611QUW.bigWig	GRCh38				released	s3://encode-public/2017/01/11/bf7bebee-bce1-48fc-a388-823f7aa64e64/ENCFF611QUW.bigWig			control insufficient read depth, insufficient read depth	
ENCFF926LMU	bigWig	signal p-value	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF015YIT, ENCFF232FPZ, ENCFF624TPS	247848844	ENCODE Processing Pipeline	b1c0a04320103949c76fd8a9572c86be		https://www.encodeproject.org/files/ENCFF926LMU/@@download/ENCFF926LMU.bigWig	hg19				released	s3://encode-public/2017/01/11/57ddc5f5-7baa-4d23-9ed7-ee296e8f37e2/ENCFF926LMU.bigWig			control insufficient read depth, insufficient read depth	
ENCFF231MOZ	bigBed narrowPeak	peaks	ENCSR000AKI	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H4K20me1-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF679KNO	2039723	ENCODE Processing Pipeline	57b19324690530d6bc4687b2e7c1e8b7		https://www.encodeproject.org/files/ENCFF231MOZ/@@download/ENCFF231MOZ.bigBed	GRCh38				released	s3://encode-public/2017/01/11/5845d3ec-3c60-4bb5-b1e6-39b3336a0954/ENCFF231MOZ.bigBed			control insufficient read depth, insufficient read depth	
